W,PoS,Comp,V=>A,A=>V,Rel,Self,Person,Stative,Objective,Antinomy
固い,A1,0,0,1,1,0,0,0,1,1
厚い,A1,0,0,0,1,0,0,0,1,1
硬い,A1,0,0,0,1,0,0,0,1,1
香(かぐわ)しい,A2,1,1,0,1,0,0,0,1,1
易しい,A2,0,0,0,1,0,0,0,1,1
芳(かんば)しい,A2,1,?,0,1,0,0,0,1,0
辛(から)い,A1,,0,0,1,0,0,0,1,0
しょっぱい,A1,,0,,1,0,0,0,1,0
酸っぱい,A1,,0,0,1,0,0,0,1,0
苦い,A1,,1,,1,0,0,0,1,0
安っぽい,A1,1,0,,1,0,0,0,1,
脂っこい,A1,1,0,,1,0,0,0,1,
 粘っこい,A1,1,1,,1,0,0,0,1,
乏しい(<?X欲しい),A2,0,0,0,1,0,0,0,1,
紛らわしい,A2,1,1,,1,0,0,0,1,
古めかしい,A2,1,1,,1,0,0,0,1,
せわしい(<せかしい),A2,1,1,0,0,0,1,0,0,0
賢い,A1,0,0,,0,0,1,0,0,
鈍(のろ)い,A1,0,0,,0,0,1,0,1,1
鈍(にぶ)い,A1,0,0,,0,0,1,0,1,1
清い,A1,0,0,,0,0,1,0,0,
人懐っこい,A1,1,0,,0,0,1,0,0,
篤い,A1,0,0,0,0,0,1,0,0,1
貧しい,A2,0,?,,0,0,1,0,0,0
昔の,B2,,,,0,0,0,1,0,1
古い,A1,0,0,0,0,0,0,0,1,1
忘れっぽい,A1,1,1,,0,0,1,0,0,
黒い,A1,0,0,,0,0,0,0,1,0
白い,A1,0,0,,0,0,0,0,1,0
四角い,A1,1,0,0,0,0,0,0,1,0
青い,A1,0,0,0,0,0,0,0,1,0
赤い,A1,0,0,0,0,0,0,0,1,0
丸い,A1,0,0,1,0,0,0,0,1,0
黄色い,A1,1,0,,0,0,0,0,1,0
"逆{の,な}",B,,0,,,,,,,1
"逆さま{の,な}",B,,0,,,,,,,1
異例な,B1,,,0,,,,,,1
急な,B1,,,0,,,,,,1
下品な,B1,,,0,,,,,,1
建設的な,B1,,1,,,,,,,1
厳密な,B1,,,,,,,,,1
消極的な,B1,,1,,,,,,,1
上手な,B1,,,0,,,,,,1
慎重な,B1,,,0,,,,,,1
真な,B1,,,,,,,,,1
正常な,B1,,,0,,,,,,1
積極的な,B1,,1,,,,,,,1
対極的な,B1,,,,,,,,,1
平らな,B1,,,,,,,,,1
丁寧な,B1,,,0,,,,,,1
なだらかな,B1,,?,0,,,,,,1
滑らかな,B1,,,0,,,,,,1
破壊的な,B1,,1,,,,,,,1
不注意な,B1,,,0,,,,,,1
下手な,B1,,,0,,,,,,1
まっすぐな,B1,,,0,,,,,,1
身近な,B1,,,0,,,,,,1
豊かな,B1,,,0,,,,,,1
両極的な,B1,,,,,,,,,1
上の,B2,,,,,,,,,1
嘘の,B2,,,,,,,,,1
表の,B2,,,,,,,,,1
真の,B2,,,,,,,,,1
凸の,B2,,,,,,,,,1
"ニセ{の,*な}",B2,,,,,,,,,1
"本当{の,*な}",B2,,,,,,,,,1
"本物{の,*な}",B2,,,,,,,,,1
前の,B2,,,,,,,,,1
右の,B2,,,,,,,,,1
凹の,B2,,,,,,,,,1
乾いた,C,,1,1,,,,,,1
乾燥した,C,,1,1,,,,,,1
しっかりした,C,,,,,,,,,1
曲がった,C,,1,1,,,,,,1
ありきたりな,B1,,,0,,,,,,0
異常な,B1,,,0,,,,,,0
強烈な,B1,,,0,,,,,,0
健康な,B1,1,,0,,,,,,0
静かな,B1,,,0,,,,,,0
透明な,B1,,,,,,,,,0
まろやかな,B1,,,0,,,,,,0
天才の,B2,,,0,,,,,,0
並の,B2,,,0,,,,,,0
病気の,B2,,,0,,,,,,0
度外れた,C,1,1,0,,,,,,0
並外れた,C,1,1,0,,,,,,0
健全な,B1,,,0,,,,,,0
重要な,B1,,,0,,,,,,0
のどかな,B1,,,0,,,,,,0
平凡な,B1,,,0,,,,,,0
補完的な,B1,,1,,,,,,,0
迷惑な,B1,,,0,,,,,,0
普通の,B2,,,0,,,,,,0
*諌ましい,A2,,1,,,,,,,
*収ましい,A2,,1,,,,,,,
確かな,B,,0,0,,,,,,
"でこぼこ(凸凹){な,の}",B,,0,,,,,,,
哀れな,B1,,1,0,,,,,,
いい加減な,B1,1,,0,,,,,,
酸素欠乏の,B1,1,,,,,,,,
刺激的な,B1,,,,,,,,,
消毒済みの,B1,1,,1,,,,,,
単発的な,B1,,,,,,,,,
中途半端な,B1,,,,,,,,,
適当な,B1,,,0,,,,,,
徹底的な,B1,,1,,,,,,,
突発的な,B1,,,,,,,,,
生の,B1,,,,,,,,,
にぎやかな,B1,,1,,,,,,,
はなやかな,B1,,1,,,,,,,
まばらな,B1,,,0,,,,,,
"オレンジ色{の,?な,い*}",B2,,,,,,,,,
催眠性の,B2,,1,,,,,,,
透明性の,B2,,,,,,,,,
"ネズミ色{の,?な,い*}",B2,,,,,,,,,
"灰色{の,?な,い*}",B2,,,,,,,,,
発ガン性の,B2,,1,,,,,,,
緑(色)の,B2,,,,,,,,,
劣った,C,,1,1,,,,,,
優れた,C,,1,1,,,,,,
焼けた,C,,,1,,,,,,
"高々{な,*しい}",,,,,,,,,,
"早々{?の,しい}",,,,,,,,,,
"低々{*な*,しい}",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
